isAbusive,comment
0,"""As a mother, an artist, a teacher and designer I support for presidency Bernie Sanders, as a man who I believe supports me."""
0,"""He speaks with passion and charisma. His policy regarding the break-up of Wallstreet is ballsy and something that has never been done before"""
0,"""Hilary will care for women health as well as rights. Hilary cares for the working poor,Children, People of color and the LGBT Community."""
0,"""He recognizes Glass-Steagall was the reason behind 2008's disaster."""
0,"""He has the right policies, especially when it comes to civil rights."""
0,"""He is a Christian and a Constitutional Conservative, a much needed addition to the needs of Colorado."""
1,"""Michael Bennett is the worst of the worst Big Government Fascist Socialist scum, and deserves to loose his job. His recent epiphany, that government is the problem, is pure horse s#!t. He is as dedicated to massive useless government bureaucracies, as are Obama and Clinton."""
1,"""Donald trump is an idiot."""
1,"""I support Donald Trump because I'd never vote for a murdering, flip flopping, habitual liar."""
1,"""Trump is a maggot."""
1,"""Fuck donald trump."""
